Country,"Density(P/Km2)",Agricultural Land(%),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change(%)
Afghanistan,60,58.10,"652,230","323,000",32.49,93,Kabul,"8,672",149.9,2.30
Albania,105,43.10,"28,748","9,000",11.78,355,Tirana,"4,536",119.05,1.40
Algeria,18,17.40,"2,381,741","317,000",24.28,213,Algiers,"150,006",151.36,2.00
Andorra,164,40.00,468,,7.2,376,Andorra la Vella,469,,
Angola,26,47.50,"1,246,700","117,000",40.73,244,Luanda,"34,693",261.73,17.10
Antigua and Barbuda,223,20.50,443,0,15.33,1,"St. John's, Saint John",557,113.81,1.20
Argentina,17,54.30,"2,780,400","105,000",17.02,54,Buenos Aires,"201,348",232.75,53.50
Armenia,104,58.90,"29,743","49,000",13.99,374,Yerevan,"5,156",129.18,1.40
Australia,3,48.20,"7,741,220","58,000",12.6,61,Canberra,"375,908",119.8,1.60
Austria,109,32.40,"83,871","21,000",9.7,43,Vienna,"61,448",118.06,1.50
Azerbaijan,123,57.70,"86,600","82,000",14,994,Baku,"37,620",156.32,2.60
The Bahamas,39,1.40,"13,880","1,000",13.97,1,"Nassau, Bahamas","1,786",116.22,2.50
Bahrain,"2,239",11.10,765,"19,000",13.99,973,Manama,"31,694",117.59,2.10
Bangladesh,"1,265",70.60,"148,460","221,000",18.18,880,Dhaka,"84,246",179.68,5.60
Barbados,668,23.30,430,"1,000",10.65,1,Bridgetown,"1,276",134.09,4.10
Belarus,47,42.00,"207,600","155,000",9.9,375,Minsk,"58,280",,5.60
Belgium,383,44.60,"30,528","32,000",10.3,32,City of Brussels,"96,889",117.11,1.40
Belize,17,7.00,"22,966","2,000",20.79,501,Belmopan,568,105.68,-0.90
Benin,108,33.30,"112,622","12,000",36.22,229,Porto-Novo,"6,476",110.71,-0.90
Bhutan,20,13.60,"38,394","6,000",17.26,975,Thimphu,"1,261",167.18,2.70
Bolivia,11,34.80,"1,098,581","71,000",21.75,591,Sucre,"21,606",148.32,1.80
Bosnia and Herzegovina,64,43.10,"51,197","11,000",8.11,387,Sarajevo,"21,848",104.9,0.60
Botswana,4,45.60,"581,730","9,000",24.82,267,Gaborone,"6,340",149.75,2.80
Brazil,25,33.90,"8,515,770","730,000",13.92,55,Bras���,"462,299",167.4,3.70
Brunei,83,2.70,"5,765","8,000",14.9,673,Bandar Seri Begawan,"7,664",99.03,-0.40
Bulgaria,64,46.30,"110,879","31,000",8.9,359,Sofia,"41,708",114.42,3.10
Burkina Faso,76,44.20,"274,200","11,000",37.93,226,Ouagadougou,"3,418",106.58,-3.20
Burundi,463,79.20,"27,830","31,000",39.01,257,Bujumbura,495,182.11,-0.70
Ivory Coast,83,64.80,"322,463","27,000",35.74,225,Yamoussoukro,"9,674",111.61,-0.90
Cape Verde,138,19.60,"4,033","1,000",19.49,238,Praia,543,110.5,1.10
Cambodia,95,30.90,"181,035","191,000",22.46,855,Phnom Penh,"9,919",127.63,2.50
Cameroon,56,20.60,"475,440","24,000",35.39,237,Yaound�,"8,291",118.65,2.50
Canada,4,6.90,"9,984,670","72,000",10.1,1,Ottawa,"544,894",116.76,1.90
Central African Republic,8,8.20,"622,984","8,000",35.35,236,Bangui,297,186.86,37.10
Chad,13,39.70,"1,284,000","35,000",42.17,235,N'Djamena,"1,016",117.7,-1.00
Chile,26,21.20,"756,096","122,000",12.43,56,Santiago,"85,822",131.91,2.60
China,153,56.20,"9,596,960","2,695,000",10.9,86,Beijing,"9,893,038",125.08,2.90
Colombia,46,40.30,"1,138,910","481,000",14.88,57,Bogot�,"97,814",140.95,3.50
Comoros,467,71.50,"2,235",,31.88,269,"Moroni, Comoros",202,103.62,-4.30
Republic of the Congo,16,31.10,"342,000","12,000",32.86,242,Brazzaville,"3,282",124.74,2.20
Costa Rica,100,34.50,"51,100","10,000",13.97,506,San Jos������,"8,023",128.85,2.10
Croatia,73,27.60,"56,594","18,000",9,385,Zagreb,"17,488",109.82,0.80
Cuba,106,59.90,"110,860","76,000",10.17,53,Havana,"28,284",,
Cyprus,131,12.20,"9,251","16,000",10.46,357,Nicosia,"6,626",102.51,0.30
Czech Republic,139,45.20,"78,867","23,000",10.7,420,Prague,"102,218",116.48,2.80
Democratic Republic of the Congo,40,11.60,"2,344,858","134,000",41.18,243,Kinshasa,"2,021",133.85,2.90
Denmark,137,62.00,"43,094","15,000",10.6,45,Copenhagen,"31,786",110.35,0.80
Djibouti,43,73.40,"23,200","13,000",21.47,253,Djibouti City,620,120.25,3.30
